top - 15:02:04 up  3:06,  1 user,  load average: 0.15, 0.36, 0.58
Tasks: 254 total,   1 running, 252 sleeping,   1 stopped,   0 zombie
%Cpu(s):  4.3 us,  2.9 sy,  0.0 ni, 92.8 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :   7882.5 total,    215.0 free,   5098.6 used,   2568.9 buff/cache
MiB Swap:    976.0 total,    963.0 free,     13.0 used.   1976.8 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
    222 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card0-crtc1
    223 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card0-crtc2
    424 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kdmflush
    430 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kcryptd_io/253:
    431 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kcryptd/253:0
    432 root      20   0       0      0      0 S   0.0   0.0   0:01.32 dmcrypt_write/2
    437 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kdmflush
    438 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kdmflush
    486 root      20   0       0      0      0 S   0.0   0.0   0:01.58 jbd2/dm-1-8
    487 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ext4-rsv-conver
    538 root      19  -1   64612  22888  21312 S   0.0   0.3   0:03.43 systemd-journal
    568 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ipmi-msghandler
    571 root      20   0   26716   6988   4484 S   0.0   0.1   0:00.85 systemd-udevd
    662 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 cfg80211
    815 root      20   0       0      0      0 S   0.0   0.0   0:00.00 jbd2/sda2-8
    817 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ext4-rsv-conver
    910 systemd+  20   0   14776   6152   5356 S   0.0   0.1   0:15.46 systemd-oomd
    912 systemd+  20   0   25744  13976   9568 S   0.0   0.2   0:02.54 systemd-resolve
    913 systemd+  20   0   89324   6664   5808 S   0.0   0.1   0:00.24 systemd-timesyn
   1021 root      20   0  248640   7768   6832 S   0.0   0.1   0:00.55 accounts-daemon
   1022 root      20   0    2812   1144   1056 S   0.0   0.0   0:00.91 acpid
   1026 avahi     20   0    7708   3364   3028 S   0.0   0.0   0:00.35 avahi-daemon
   1027 root      20   0   18148   2880   2624 S   0.0   0.0   0:00.02 cron
   1028 message+  20   0   11116   6312   3712 S   0.0   0.1   0:05.23 dbus-daemon
   1037 root      20   0   82756   3864   3496 S   0.0   0.0   0:00.67 irqbalance
   1043 root      20   0   49676  20404  11112 S   0.0   0.3   0:00.19 networkd-dispat
   1052 root      20   0  251500  10096   6948 S   0.0   0.1   0:01.01 polkitd
   1053 root      20   0  248736   6848   6240 S   0.0   0.1   0:00.08 power-profiles-
